,Area,Item,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
198,Afghanistan,"Cereals, Total",2724070.0,2793694.0,2419097.0,1911658.0,2641911.0,3043589.0
199,Afghanistan,"Cereals, Total",21322.0,19804.0,20232.0,21626.0,21134.0,19799.0
200,Afghanistan,"Cereals, Total",5808288.0,5532695.0,4894365.0,4134191.0,5583461.0,6025977.0
532,Albania,"Cereals, Total",142600.0,148084.0,145799.0,140110.0,132203.0,131310.0
533,Albania,"Cereals, Total",48738.0,47164.0,48130.0,48405.0,50382.0,52092.0
534,Albania,"Cereals, Total",695000.0,698430.0,701734.0,678196.0,666065.0,684023.0
875,Algeria,"Cereals, Total",2686241.0,3376448.0,3512151.0,3107774.0,3187482.0,2889577.0
876,Algeria,"Cereals, Total",14002.0,10204.0,9903.0,19520.0,17674.0,15204.0
877,Algeria,"Cereals, Total",3761230.0,3445228.0,3478161.0,6066235.0,5633586.0,4393322.0
1096,Angola,"Cereals, Total",2055726.0,2730899.0,3096317.0,3063255.0,3064970.0,2678045.0
1097,Angola,"Cereals, Total",9824.0,8654.0,8062.0,9391.0,9528.0,9066.0
1098,Angola,"Cereals, Total",2019544.0,2363287.0,2496354.0,2876750.0,2920433.0,2427955.0
1288,Antigua and Barbuda,"Cereals, Total",47.0,35.0,28.0,24.0,20.0,3.0
1289,Antigua and Barbuda,"Cereals, Total",15957.0,18571.0,21071.0,22500.0,24000.0,36667.0
1290,Antigua and Barbuda,"Cereals, Total",75.0,65.0,59.0,54.0,48.0,11.0
1676,Argentina,"Cereals, Total",11713405.0,11751642.0,14136037.0,15112939.0,15303998.0,16608538.0
1677,Argentina,"Cereals, Total",47791.0,52034.0,54045.0,46710.0,55237.0,52126.0
1678,Argentina,"Cereals, Total",55980088.0,61148033.0,76397805.0,70592400.0,84534610.0,86573396.0
1939,Armenia,"Cereals, Total",190209.0,194717.0,150892.0,127436.0,115382.0,117720.0
1940,Armenia,"Cereals, Total",31321.0,30761.0,19751.0,26236.0,16906.0,20558.0
