,Area,longitude,latitude,Item,Element,Unit,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
200,Afghanistan,67.709953,33.93911,"Cereals, Total",Production,tonnes,5808288.0,5532695.0,4894365.0,4134191.0,5583461.0,6025977.0
534,Albania,20.168331,41.153332,"Cereals, Total",Production,tonnes,695000.0,698430.0,701734.0,678196.0,666065.0,684023.0
877,Algeria,1.659626,28.033886,"Cereals, Total",Production,tonnes,3761230.0,3445228.0,3478161.0,6066235.0,5633586.0,4393322.0
1098,Angola,17.873887,-11.202692,"Cereals, Total",Production,tonnes,2019544.0,2363287.0,2496354.0,2876750.0,2920433.0,2427955.0
1290,Antigua and Barbuda,-61.796428,17.060816,"Cereals, Total",Production,tonnes,75.0,65.0,59.0,54.0,48.0,11.0
1678,Argentina,-63.616672,-38.416097,"Cereals, Total",Production,tonnes,55980088.0,61148033.0,76397805.0,70592400.0,84534610.0,86573396.0
1941,Armenia,45.038189,40.069099,"Cereals, Total",Production,tonnes,595757.0,598966.0,298029.0,334342.0,195063.0,242012.0
2351,Australia,133.775136,-25.274398,"Cereals, Total",Production,tonnes,37195915.0,35229824.0,50049336.0,33860457.0,29236374.0,26613793.0
2737,Austria,14.550072,47.516231,"Cereals, Total",Production,tonnes,4853896.0,5701698.0,4874849.0,4787200.0,5399310.0,5649770.0
3059,Azerbaijan,47.576927,40.143105,"Cereals, Total",Production,tonnes,2898559.0,2965670.0,2824527.0,3181819.0,3416765.0,3151182.0
3240,Bahamas,-77.39628,25.03428,"Cereals, Total",Production,tonnes,597.0,659.0,648.0,634.0,647.0,643.0
3732,Bangladesh,90.356331,23.684994,"Cereals, Total",Production,tonnes,55438379.0,54262297.0,58495624.0,58812144.0,59182139.0,59960399.0
3930,Barbados,-59.543198,13.193887,"Cereals, Total",Production,tonnes,122.0,96.0,74.0,109.0,42.0,12.0
4196,Belarus,27.953389,53.709807,"Cereals, Total",Production,tonnes,8186980.0,7075658.0,7529412.0,5813781.0,6991979.0,8403688.0
4556,Belgium,4.469936,50.503887,"Cereals, Total",Production,tonnes,3163733.0,2287774.0,2764392.0,2431020.0,2814390.0,2565860.0
5082,Belize,-88.49765,17.189877,"Cereals, Total",Production,tonnes,80959.0,91557.0,118376.0,99341.0,85114.0,112007.0
5323,Benin,2.315834,9.30769,"Cereals, Total",Production,tonnes,1643227.0,1814289.0,1897504.0,2320756.0,2177783.0,2203105.0
5589,Bhutan,90.433601,27.514162,"Cereals, Total",Production,tonnes,175635.0,176187.0,192689.0,125751.0,103293.0,103298.0
5953,Bolivia,-63.588653,-16.290154,"Cereals, Total",Production,tonnes,2934919.0,2660808.0,2278993.0,3267427.0,2912082.0,2914459.0
6281,Bosnia and Herz.,17.679076,43.915886,"Cereals, Total",Production,tonnes,1137236.0,1657556.0,1167005.0,1743762.0,1666131.0,1944178.0
6471,Botswana,24.684866,-22.328474,"Cereals, Total",Production,tonnes,43967.0,47045.0,23376.0,80978.0,48548.0,162158.0
6848,Brazil,-51.92528,-14.235004,"Cereals, Total",Production,tonnes,106026685.0,84166682.0,117977014.0,103260129.0,121202845.0,125568280.0
7047,Brunei,114.727669,4.535277,"Cereals, Total",Production,tonnes,1983.0,1579.0,1527.0,1569.0,1500.0,2511.0
7526,Bulgaria,25.48583,42.733883,"Cereals, Total",Production,tonnes,8570299.0,8752219.0,9475846.0,10109850.0,11130990.0,8598290.0
7773,Burkina Faso,-1.561593,12.238333,"Cereals, Total",Production,tonnes,4189665.0,4567066.0,4063197.0,5180702.0,4939630.0,5122798.0
7992,Burundi,29.918886,-3.373056,"Cereals, Total",Production,tonnes,259662.0,467751.0,375075.0,459525.0,546812.0,466067.0
8372,Cambodia,104.990963,12.565679,"Cereals, Total",Production,tonnes,9735000.0,10615000.0,11268000.0,12124000.0,11781000.0,11910000.0
8698,Cameroon,12.354722,7.369722,"Cereals, Total",Production,tonnes,3645513.0,3820815.0,3623844.0,3697407.0,3718722.0,3733173.0
9019,Canada,-106.346771,56.130366,"Cereals, Total",Production,tonnes,53563000.0,58905768.0,56770935.0,58726900.0,61473900.0,65013700.0
9237,Central African Rep.,20.939444,6.611111,"Cereals, Total",Production,tonnes,131506.0,142936.0,142000.0,142000.0,140211.0,136095.0
9448,Chad,18.732207,15.454166,"Cereals, Total",Production,tonnes,2452528.0,2873660.0,2716901.0,3021972.0,2925292.0,2882262.0
9806,Chile,-71.542969,-35.675147,"Cereals, Total",Production,tonnes,3788922.0,3872403.0,3471368.0,3660144.0,3294526.0,2759792.0
11206,China,104.195397,35.86166,"Cereals, Total",Production,tonnes,618165315.0,614697470.0,614076812.0,608917809.0,612794486.0,615518145.0
11586,Taiwan,120.960515,23.69781,"Cereals, Total",Production,tonnes,1758161.0,1758649.0,1947667.0,2133874.0,1977974.0,1964833.0
11972,Colombia,-74.297333,4.570868,"Cereals, Total",Production,tonnes,3998890.0,4396731.0,4647650.0,4349018.0,4434081.0,4925126.0
12135,Comoros,43.872219,-11.875001,"Cereals, Total",Production,tonnes,36500.0,37300.0,36666.0,36822.0,36929.0,36806.0
12367,Congo,15.827659,-0.228021,"Cereals, Total",Production,tonnes,27621.0,28897.0,29798.0,29950.0,31272.0,30347.0
12804,Costa Rica,-83.753428,9.748917,"Cereals, Total",Production,tonnes,203816.0,213880.0,159571.0,197701.0,170322.0,151685.0
13099,Côte d'Ivoire,-5.54708,7.539989,"Cereals, Total",Production,tonnes,3308600.0,3159200.0,3290400.0,3214062.0,3139196.0,2817182.0
13490,Croatia,15.2,45.1,"Cereals, Total",Production,tonnes,2802791.0,3573872.0,2659648.0,3243520.0,3513320.0,3746320.0
13761,Cuba,-77.781167,21.521757,"Cereals, Total",Production,tonnes,791666.0,930968.0,786203.0,812374.0,703097.0,525731.0
