,Area,longitude,latitude,Item,Element,Unit,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
199,Afghanistan,67.709953,33.93911,"Cereals, Total",Yield,hg/ha,21322.0,19804.0,20232.0,21626.0,21134.0,19799.0
533,Albania,20.168331,41.153332,"Cereals, Total",Yield,hg/ha,48738.0,47164.0,48130.0,48405.0,50382.0,52092.0
876,Algeria,1.659626,28.033886,"Cereals, Total",Yield,hg/ha,14002.0,10204.0,9903.0,19520.0,17674.0,15204.0
1097,Angola,17.873887,-11.202692,"Cereals, Total",Yield,hg/ha,9824.0,8654.0,8062.0,9391.0,9528.0,9066.0
1289,Antigua and Barbuda,-61.796428,17.060816,"Cereals, Total",Yield,hg/ha,15957.0,18571.0,21071.0,22500.0,24000.0,36667.0
1677,Argentina,-63.616672,-38.416097,"Cereals, Total",Yield,hg/ha,47791.0,52034.0,54045.0,46710.0,55237.0,52126.0
1940,Armenia,45.038189,40.069099,"Cereals, Total",Yield,hg/ha,31321.0,30761.0,19751.0,26236.0,16906.0,20558.0
2350,Australia,133.775136,-25.274398,"Cereals, Total",Yield,hg/ha,20273.0,20752.0,26742.0,20358.0,17689.0,16505.0
2736,Austria,14.550072,47.516231,"Cereals, Total",Yield,hg/ha,61981.0,72464.0,62606.0,61458.0,69543.0,73864.0
3058,Azerbaijan,47.576927,40.143105,"Cereals, Total",Yield,hg/ha,30836.0,30047.0,29405.0,30087.0,32267.0,32174.0
3239,Bahamas,-77.39628,25.03428,"Cereals, Total",Yield,hg/ha,82917.0,77529.0,78072.0,79250.0,77952.0,78415.0
3731,Bangladesh,90.356331,23.684994,"Cereals, Total",Yield,hg/ha,45604.0,46010.0,47060.0,47910.0,48108.0,49013.0
3929,Barbados,-59.543198,13.193887,"Cereals, Total",Yield,hg/ha,27111.0,27429.0,28462.0,27949.0,28000.0,30000.0
4195,Belarus,27.953389,53.709807,"Cereals, Total",Yield,hg/ha,36902.0,32073.0,33587.0,27239.0,30956.0,35399.0
4555,Belgium,4.469936,50.503887,"Cereals, Total",Yield,hg/ha,98422.0,69848.0,90507.0,79831.0,89885.0,84309.0
5081,Belize,-88.49765,17.189877,"Cereals, Total",Yield,hg/ha,28978.0,31646.0,42291.0,40437.0,29465.0,35263.0
5322,Benin,2.315834,9.30769,"Cereals, Total",Yield,hg/ha,13367.0,14559.0,14054.0,14285.0,12383.0,14328.0
5588,Bhutan,90.433601,27.514162,"Cereals, Total",Yield,hg/ha,34757.0,33734.0,34130.0,34170.0,30821.0,34415.0
5952,Bolivia,-63.588653,-16.290154,"Cereals, Total",Yield,hg/ha,22802.0,21113.0,18456.0,23337.0,20301.0,20240.0
6280,Bosnia and Herz.,17.679076,43.915886,"Cereals, Total",Yield,hg/ha,38121.0,51917.0,37321.0,54879.0,53547.0,60507.0
6470,Botswana,24.684866,-22.328474,"Cereals, Total",Yield,hg/ha,9384.0,4716.0,3184.0,5497.0,6752.0,10336.0
6847,Brazil,-51.92528,-14.235004,"Cereals, Total",Yield,hg/ha,50006.0,41817.0,52097.0,48067.0,53216.0,52557.0
7046,Brunei,114.727669,4.535277,"Cereals, Total",Yield,hg/ha,21461.0,15587.0,16598.0,20038.0,19405.0,29437.0
7525,Bulgaria,25.48583,42.733883,"Cereals, Total",Yield,hg/ha,46696.0,48178.0,54797.0,55617.0,57747.0,43734.0
7772,Burkina Faso,-1.561593,12.238333,"Cereals, Total",Yield,hg/ha,11689.0,11368.0,10090.0,11523.0,11561.0,11704.0
7991,Burundi,29.918886,-3.373056,"Cereals, Total",Yield,hg/ha,12042.0,14830.0,11255.0,13233.0,14465.0,13143.0
8371,Cambodia,104.990963,12.565679,"Cereals, Total",Yield,hg/ha,33781.0,35109.0,36137.0,37024.0,37597.0,38512.0
8697,Cameroon,12.354722,7.369722,"Cereals, Total",Yield,hg/ha,16153.0,16533.0,16706.0,16529.0,16534.0,16613.0
9018,Canada,-106.346771,56.130366,"Cereals, Total",Yield,hg/ha,36730.0,42391.0,41048.0,39146.0,40108.0,40794.0
9236,Central African Rep.,20.939444,6.611111,"Cereals, Total",Yield,hg/ha,8841.0,8798.0,8966.0,8826.0,8626.0,8162.0
9447,Chad,18.732207,15.454166,"Cereals, Total",Yield,hg/ha,8019.0,8447.0,8252.0,8930.0,8863.0,8671.0
9805,Chile,-71.542969,-35.675147,"Cereals, Total",Yield,hg/ha,70823.0,68582.0,67808.0,71464.0,71593.0,62478.0
11205,China,104.195397,35.86166,"Cereals, Total",Yield,hg/ha,59852.0,60186.0,61107.0,61266.0,62672.0,62955.0
11585,Taiwan,120.960515,23.69781,"Cereals, Total",Yield,hg/ha,61669.0,56904.0,62844.0,70002.0,64923.0,65872.0
11971,Colombia,-74.297333,4.570868,"Cereals, Total",Yield,hg/ha,43017.0,43532.0,47080.0,46663.0,48507.0,50829.0
12134,Comoros,43.872219,-11.875001,"Cereals, Total",Yield,hg/ha,13516.0,14146.0,13755.0,13803.0,13901.0,13820.0
12366,Congo,15.827659,-0.228021,"Cereals, Total",Yield,hg/ha,8335.0,8456.0,8593.0,8691.0,8879.0,8844.0
12803,Costa Rica,-83.753428,9.748917,"Cereals, Total",Yield,hg/ha,38316.0,40261.0,37310.0,42102.0,40524.0,33571.0
13098,Côte d'Ivoire,-5.54708,7.539989,"Cereals, Total",Yield,hg/ha,22003.0,22198.0,22761.0,22621.0,22643.0,22109.0
13489,Croatia,15.2,45.1,"Cereals, Total",Yield,hg/ha,56950.0,66655.0,57048.0,70556.0,71573.0,69924.0
13760,Cuba,-77.781167,21.521757,"Cereals, Total",Yield,hg/ha,29646.0,29393.0,28543.0,28765.0,28331.0,25723.0
14149,Cyprus,33.429859,35.126413,"Cereals, Total",Yield,hg/ha,26830.0,4363.0,18027.0,10529.0,26563.0,23685.0
14545,Czechia,15.472962,49.817492,"Cereals, Total",Yield,hg/ha,58806.0,63170.0,54975.0,52069.0,56532.0,60427.0
15113,North Korea,127.510093,40.339852,"Cereals, Total",Yield,hg/ha,36540.0,40797.0,40151.0,35105.0,43856.0,34762.0
15385,Dem. Rep. Congo,21.758664,-4.038333,"Cereals, Total",Yield,hg/ha,7689.0,7793.0,7886.0,7973.0,8060.0,8577.0
15714,Denmark,9.501785,56.26392,"Cereals, Total",Yield,hg/ha,68847.0,62220.0,69165.0,48888.0,69289.0,69263.0
15844,Djibouti,42.590275,11.825138,"Cereals, Total",Yield,hg/ha,20000.0,21250.0,18889.0,18889.0,18889.0,18889.0
