,Area,longitude,latitude,Item,Element,Unit,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
199,Afghanistan,67.709953,33.93911,"Cereals, Total",Yield,hg/ha,21322.0,19804.0,20232.0,21626.0,21134.0,19799.0
200,Afghanistan,67.709953,33.93911,"Cereals, Total",Production,tonnes,5808288.0,5532695.0,4894365.0,4134191.0,5583461.0,6025977.0
533,Albania,20.168331,41.153332,"Cereals, Total",Yield,hg/ha,48738.0,47164.0,48130.0,48405.0,50382.0,52092.0
534,Albania,20.168331,41.153332,"Cereals, Total",Production,tonnes,695000.0,698430.0,701734.0,678196.0,666065.0,684023.0
876,Algeria,1.659626,28.033886,"Cereals, Total",Yield,hg/ha,14002.0,10204.0,9903.0,19520.0,17674.0,15204.0
877,Algeria,1.659626,28.033886,"Cereals, Total",Production,tonnes,3761230.0,3445228.0,3478161.0,6066235.0,5633586.0,4393322.0
1097,Angola,17.873887,-11.202692,"Cereals, Total",Yield,hg/ha,9824.0,8654.0,8062.0,9391.0,9528.0,9066.0
1098,Angola,17.873887,-11.202692,"Cereals, Total",Production,tonnes,2019544.0,2363287.0,2496354.0,2876750.0,2920433.0,2427955.0
1289,Antigua and Barbuda,-61.796428,17.060816,"Cereals, Total",Yield,hg/ha,15957.0,18571.0,21071.0,22500.0,24000.0,36667.0
1290,Antigua and Barbuda,-61.796428,17.060816,"Cereals, Total",Production,tonnes,75.0,65.0,59.0,54.0,48.0,11.0
1677,Argentina,-63.616672,-38.416097,"Cereals, Total",Yield,hg/ha,47791.0,52034.0,54045.0,46710.0,55237.0,52126.0
1678,Argentina,-63.616672,-38.416097,"Cereals, Total",Production,tonnes,55980088.0,61148033.0,76397805.0,70592400.0,84534610.0,86573396.0
1940,Armenia,45.038189,40.069099,"Cereals, Total",Yield,hg/ha,31321.0,30761.0,19751.0,26236.0,16906.0,20558.0
1941,Armenia,45.038189,40.069099,"Cereals, Total",Production,tonnes,595757.0,598966.0,298029.0,334342.0,195063.0,242012.0
2350,Australia,133.775136,-25.274398,"Cereals, Total",Yield,hg/ha,20273.0,20752.0,26742.0,20358.0,17689.0,16505.0
2351,Australia,133.775136,-25.274398,"Cereals, Total",Production,tonnes,37195915.0,35229824.0,50049336.0,33860457.0,29236374.0,26613793.0
2736,Austria,14.550072,47.516231,"Cereals, Total",Yield,hg/ha,61981.0,72464.0,62606.0,61458.0,69543.0,73864.0
2737,Austria,14.550072,47.516231,"Cereals, Total",Production,tonnes,4853896.0,5701698.0,4874849.0,4787200.0,5399310.0,5649770.0
3058,Azerbaijan,47.576927,40.143105,"Cereals, Total",Yield,hg/ha,30836.0,30047.0,29405.0,30087.0,32267.0,32174.0
3059,Azerbaijan,47.576927,40.143105,"Cereals, Total",Production,tonnes,2898559.0,2965670.0,2824527.0,3181819.0,3416765.0,3151182.0
3239,Bahamas,-77.39628,25.03428,"Cereals, Total",Yield,hg/ha,82917.0,77529.0,78072.0,79250.0,77952.0,78415.0
3240,Bahamas,-77.39628,25.03428,"Cereals, Total",Production,tonnes,597.0,659.0,648.0,634.0,647.0,643.0
3731,Bangladesh,90.356331,23.684994,"Cereals, Total",Yield,hg/ha,45604.0,46010.0,47060.0,47910.0,48108.0,49013.0
3732,Bangladesh,90.356331,23.684994,"Cereals, Total",Production,tonnes,55438379.0,54262297.0,58495624.0,58812144.0,59182139.0,59960399.0
3929,Barbados,-59.543198,13.193887,"Cereals, Total",Yield,hg/ha,27111.0,27429.0,28462.0,27949.0,28000.0,30000.0
3930,Barbados,-59.543198,13.193887,"Cereals, Total",Production,tonnes,122.0,96.0,74.0,109.0,42.0,12.0
4195,Belarus,27.953389,53.709807,"Cereals, Total",Yield,hg/ha,36902.0,32073.0,33587.0,27239.0,30956.0,35399.0
4196,Belarus,27.953389,53.709807,"Cereals, Total",Production,tonnes,8186980.0,7075658.0,7529412.0,5813781.0,6991979.0,8403688.0
4555,Belgium,4.469936,50.503887,"Cereals, Total",Yield,hg/ha,98422.0,69848.0,90507.0,79831.0,89885.0,84309.0
4556,Belgium,4.469936,50.503887,"Cereals, Total",Production,tonnes,3163733.0,2287774.0,2764392.0,2431020.0,2814390.0,2565860.0
5081,Belize,-88.49765,17.189877,"Cereals, Total",Yield,hg/ha,28978.0,31646.0,42291.0,40437.0,29465.0,35263.0
5082,Belize,-88.49765,17.189877,"Cereals, Total",Production,tonnes,80959.0,91557.0,118376.0,99341.0,85114.0,112007.0
5322,Benin,2.315834,9.30769,"Cereals, Total",Yield,hg/ha,13367.0,14559.0,14054.0,14285.0,12383.0,14328.0
5323,Benin,2.315834,9.30769,"Cereals, Total",Production,tonnes,1643227.0,1814289.0,1897504.0,2320756.0,2177783.0,2203105.0
5588,Bhutan,90.433601,27.514162,"Cereals, Total",Yield,hg/ha,34757.0,33734.0,34130.0,34170.0,30821.0,34415.0
5589,Bhutan,90.433601,27.514162,"Cereals, Total",Production,tonnes,175635.0,176187.0,192689.0,125751.0,103293.0,103298.0
5952,Bolivia,-63.588653,-16.290154,"Cereals, Total",Yield,hg/ha,22802.0,21113.0,18456.0,23337.0,20301.0,20240.0
5953,Bolivia,-63.588653,-16.290154,"Cereals, Total",Production,tonnes,2934919.0,2660808.0,2278993.0,3267427.0,2912082.0,2914459.0
6280,Bosnia and Herz.,17.679076,43.915886,"Cereals, Total",Yield,hg/ha,38121.0,51917.0,37321.0,54879.0,53547.0,60507.0
6281,Bosnia and Herz.,17.679076,43.915886,"Cereals, Total",Production,tonnes,1137236.0,1657556.0,1167005.0,1743762.0,1666131.0,1944178.0
6470,Botswana,24.684866,-22.328474,"Cereals, Total",Yield,hg/ha,9384.0,4716.0,3184.0,5497.0,6752.0,10336.0
6471,Botswana,24.684866,-22.328474,"Cereals, Total",Production,tonnes,43967.0,47045.0,23376.0,80978.0,48548.0,162158.0
6847,Brazil,-51.92528,-14.235004,"Cereals, Total",Yield,hg/ha,50006.0,41817.0,52097.0,48067.0,53216.0,52557.0
6848,Brazil,-51.92528,-14.235004,"Cereals, Total",Production,tonnes,106026685.0,84166682.0,117977014.0,103260129.0,121202845.0,125568280.0
