Item,Item Hierarchy Type,Year,Quantity
"Almonds, in shell",Fruits and nuts,2000,1452206.0
"Almonds, in shell",Fruits and nuts,2001,1552539.0
"Almonds, in shell",Fruits and nuts,2002,1849683.0
"Almonds, in shell",Fruits and nuts,2003,1772632.0
"Almonds, in shell",Fruits and nuts,2004,1610176.0
"Almonds, in shell",Fruits and nuts,2005,1848472.0
"Almonds, in shell",Fruits and nuts,2006,2084656.0
"Almonds, in shell",Fruits and nuts,2007,2290028.0
"Almonds, in shell",Fruits and nuts,2008,2475263.0
"Almonds, in shell",Fruits and nuts,2009,2416428.0
"Almonds, in shell",Fruits and nuts,2010,2575821.0
"Almonds, in shell",Fruits and nuts,2011,3078565.0
"Almonds, in shell",Fruits and nuts,2012,2913106.0
"Almonds, in shell",Fruits and nuts,2013,2954074.0
"Almonds, in shell",Fruits and nuts,2014,2741710.0
"Almonds, in shell",Fruits and nuts,2015,2696057.0
"Almonds, in shell",Fruits and nuts,2016,2860420.0
"Almonds, in shell",Fruits and nuts,2017,3064304.0
"Almonds, in shell",Fruits and nuts,2018,3271630.0
"Almonds, in shell",Fruits and nuts,2019,3561825.0
"Almonds, in shell",Fruits and nuts,2020,4140043.0
Apples,Fruits and nuts,2000,58923404.0
Apples,Fruits and nuts,2001,56961222.0
Apples,Fruits and nuts,2002,55200076.0
Apples,Fruits and nuts,2003,57850576.0
Apples,Fruits and nuts,2004,62052082.0
Apples,Fruits and nuts,2005,61703894.0
Apples,Fruits and nuts,2006,63248879.0
Apples,Fruits and nuts,2007,65662801.0
Apples,Fruits and nuts,2008,69038547.0
Apples,Fruits and nuts,2009,71638292.0
Apples,Fruits and nuts,2010,71187919.0
Apples,Fruits and nuts,2011,77073277.0
Apples,Fruits and nuts,2012,78598077.0
Apples,Fruits and nuts,2013,82830201.0
Apples,Fruits and nuts,2014,85346330.0
Apples,Fruits and nuts,2015,82368083.0
Apples,Fruits and nuts,2016,85095228.0
Apples,Fruits and nuts,2017,83118723.0
Apples,Fruits and nuts,2018,85911892.0
Apples,Fruits and nuts,2019,87481153.0
Apples,Fruits and nuts,2020,86442716.0
Apricots,Fruits and nuts,2000,2849892.0
Apricots,Fruits and nuts,2001,2625044.0
Apricots,Fruits and nuts,2002,2602530.0
Apricots,Fruits and nuts,2003,2863850.0
Apricots,Fruits and nuts,2004,2754233.0
Apricots,Fruits and nuts,2005,3612334.0
Apricots,Fruits and nuts,2006,3462297.0
Apricots,Fruits and nuts,2007,3294153.0
Apricots,Fruits and nuts,2008,3685125.0
Apricots,Fruits and nuts,2009,3756410.0
Apricots,Fruits and nuts,2010,3303442.0
Apricots,Fruits and nuts,2011,3811995.0
Apricots,Fruits and nuts,2012,3861767.0
Apricots,Fruits and nuts,2013,4089752.0
Apricots,Fruits and nuts,2014,3341008.0
Apricots,Fruits and nuts,2015,3952487.0
Apricots,Fruits and nuts,2016,4201366.0
Apricots,Fruits and nuts,2017,4790850.0
Apricots,Fruits and nuts,2018,3890738.0
Apricots,Fruits and nuts,2019,4042882.0
Apricots,Fruits and nuts,2020,3719974.0
Artichokes,Vegetables,2000,1330461.0
Artichokes,Vegetables,2001,1259163.0
Artichokes,Vegetables,2002,1278280.0
Artichokes,Vegetables,2003,1279446.0
Artichokes,Vegetables,2004,1368940.0
Artichokes,Vegetables,2005,1283433.0
Artichokes,Vegetables,2006,1422836.0
Artichokes,Vegetables,2007,1494739.0
Artichokes,Vegetables,2008,1500623.0
Artichokes,Vegetables,2009,1523883.0
Artichokes,Vegetables,2010,1480085.0
Artichokes,Vegetables,2011,1527822.0
Artichokes,Vegetables,2012,1615194.0
Artichokes,Vegetables,2013,1608768.0
Artichokes,Vegetables,2014,1574481.0
Artichokes,Vegetables,2015,1454121.0
Artichokes,Vegetables,2016,1412092.0
Artichokes,Vegetables,2017,1660357.0
