Year,Item Hierarchy Type,Producing unit quantity,Production quantity,yield growth
2000,Cereals,665591650.0,2046689974.0,
2000,Dairy and egg,5704988244.0,632932904.0,
2000,Fruits and nuts,50317078.0,441720536.0,
2000,Meat and meat products,3676796964.0,160751701.0,
2000,Vegetables,23134208.0,469460273.0,
2001,Cereals,665669121.0,2088140093.0,0.06191048207159611
2001,Dairy and egg,5843806482.0,644204403.0,-0.000706648943809271
2001,Fruits and nuts,50359856.0,444741222.0,0.05252495297454729
2001,Meat and meat products,3670164321.0,161183958.0,0.00019678683162107496
2001,Vegetables,23252085.0,475241464.0,0.1457557160766001
2002,Cereals,655403269.0,2038149794.0,-0.027139485236259198
2002,Dairy and egg,6022637175.0,660297961.0,-0.0006011025835202383
2002,Fruits and nuts,51240783.0,453066827.0,0.01065372911985385
2002,Meat and meat products,3751534294.0,164944083.0,4.973163435635641e-05
2002,Vegetables,23804694.0,503396317.0,0.7082748230930669
2003,Cereals,663144268.0,2060659592.0,-0.0023567806636615174
2003,Dairy and egg,6127319445.0,673706646.0,0.000315266361159694
2003,Fruits and nuts,51703238.0,465233212.0,0.15622610679714555
2003,Meat and meat products,3866277092.0,168670520.0,-0.00034101825310816486
2003,Vegetables,24369879.0,514758474.0,-0.02420091887989173
2004,Cereals,669219818.0,2267135395.0,0.2803213342131605
2004,Dairy and egg,6332989663.0,687159416.0,-0.0014465418740970265
2004,Fruits and nuts,53030401.0,486806285.0,0.18161409741951573
2004,Meat and meat products,3926761341.0,171723466.0,0.00010549538923617513
2004,Vegetables,24517610.0,529437909.0,0.47145510388982714
2005,Cereals,686119654.0,2248098234.0,-0.1111893899627141
2005,Dairy and egg,6527239254.0,709476090.0,0.0001899228749679266
2005,Fruits and nuts,53877873.0,497772662.0,0.05914837310118948
2005,Meat and meat products,3984765422.0,174389299.0,3.2429277744175367e-05
2005,Vegetables,24832575.0,542406644.0,0.2483560887078582
2006,Cereals,677261044.0,2247772696.0,0.04237664183400991
2006,Dairy and egg,6748258890.0,731458785.0,-0.0003024425302711048
2006,Fruits and nuts,55409137.0,520290034.0,0.1510611182773811
2006,Meat and meat products,4091995031.0,178859956.0,-5.4286547580571776e-05
2006,Vegetables,25191865.0,560622693.0,0.411570993424764
2007,Cereals,690473986.0,2336891258.0,0.06555773972351142
2007,Dairy and egg,6931397583.0,750571261.0,-0.00010652023801781263
2007,Fruits and nuts,56739170.0,533004982.0,0.00398279416349645
2007,Meat and meat products,4188352120.0,179659349.0,-0.0008147233703848025
2007,Vegetables,25360528.0,579647943.0,0.6021879349673114
2008,Cereals,706839173.0,2511001672.0,0.16796305088457242
2008,Dairy and egg,7118193548.0,767874120.0,-0.00041084488550821585
2008,Fruits and nuts,56274544.0,547527831.0,0.3356317355694092
2008,Meat and meat products,4258882184.0,184119314.0,0.00033684382391671597
2008,Vegetables,25465091.0,608531083.0,1.0403739088328265
2009,Cereals,694527766.0,2478258758.0,0.01582742259902803
2009,Dairy and egg,7244813446.0,776683368.0,-0.000669424490329168
2009,Fruits and nuts,57808254.0,560641638.0,-0.03128534753546752
2009,Meat and meat products,4301043890.0,187240553.0,0.0003019059783974515
2009,Vegetables,25990090.0,637753550.0,0.6416574502859014
2010,Cereals,688355594.0,2451697461.0,-0.0065915856944380735
2010,Dairy and egg,7486624792.0,793646084.0,-0.0011969044109131077
2010,Fruits and nuts,58787246.0,574420892.0,0.07288483043785732
2010,Meat and meat products,4431266751.0,190336312.0,-0.0005807210718093633
2010,Vegetables,26369882.0,645594970.0,-0.05605044209340093
2011,Cereals,701523272.0,2573625434.0,0.1069515640851102
2011,Dairy and egg,7598437768.0,813169965.0,0.00100951696731999
2011,Fruits and nuts,59807435.0,596664997.0,0.20525294885822554
2011,Meat and meat products,4432826561.0,190696495.0,6.613938936644859e-05
2011,Vegetables,27038735.0,673674641.0,0.4328834593461579
2012,Cereals,696090901.0,2542768638.0,-0.015698333170307333
2012,Dairy and egg,7740700560.0,828068186.0,-4.217513144301466e-05
2012,Fruits and nuts,59749227.0,602664890.0,0.11013701210627502
2012,Meat and meat products,4489450754.0,194203726.0,0.0002386273033625902
2012,Vegetables,27348494.0,687313250.0,0.2164986230160295
2013,Cereals,707145931.0,2742972092.0,0.22600744639593673
2013,Dairy and egg,7811557769.0,847898740.0,0.0015682585598989635
2013,Fruits and nuts,61236395.0,629874747.0,0.1993819140560067
2013,Meat and meat products,4571264166.0,197571335.0,-3.750790509637891e-05
2013,Vegetables,27460949.0,702392022.0,0.4461823356322938
2014,Cereals,705180132.0,2791340781.0,0.07940367318337849
2014,Dairy and egg,9134338870.0,875853667.0,-0.012658299423596683
2014,Fruits and nuts,62076634.0,643874108.0,0.08629174754711677
2014,Meat and meat products,4649169329.0,200405544.0,-0.00011461709045339913
2014,Vegetables,27726191.0,724275769.0,0.5445907456193133
2015,Cereals,710522929.0,2819453799.0,0.009801830958072522
2015,Dairy and egg,9159128862.0,886518823.0,0.0009049056038255149
2015,Fruits and nuts,62867297.0,657464219.0,0.08572278838687986
2015,Meat and meat products,4688318907.0,202471459.0,8.069978660039945e-05
2015,Vegetables,28023116.0,741044339.0,0.32159751311965223
2016,Cereals,710439272.0,2893984059.0,0.10537455566038245
