,Area,longitude,latitude,Item,Element,Unit,Year,Quantity
0,Afghanistan,67.709953,33.93911,"Cereals, Total",Yield,hg/ha,2000,8063.0
1,Afghanistan,67.709953,33.93911,"Citrus Fruit, Total",Yield,hg/ha,2000,71262.0
2,Afghanistan,67.709953,33.93911,"Milk, Total",Yield,hg/An,2000,1409.0
3,Afghanistan,67.709953,33.93911,"Pulses, Total",Yield,hg/ha,2000,10203.0
4,Afghanistan,67.709953,33.93911,"Roots and Tubers, Total",Yield,hg/ha,2000,167857.0
5,Afghanistan,67.709953,33.93911,"Treenuts, Total",Yield,hg/ha,2000,16378.0
6,Albania,20.168331,41.153332,"Cereals, Total",Yield,hg/ha,2000,31751.0
7,Albania,20.168331,41.153332,"Citrus Fruit, Total",Yield,hg/ha,2000,53170.0
8,Albania,20.168331,41.153332,"Milk, Total",Yield,hg/An,2000,3516.0
9,Albania,20.168331,41.153332,"Pulses, Total",Yield,hg/ha,2000,9092.0
10,Albania,20.168331,41.153332,"Roots and Tubers, Total",Yield,hg/ha,2000,141228.0
11,Albania,20.168331,41.153332,"Treenuts, Total",Yield,hg/ha,2000,42284.0
12,Algeria,1.659626,28.033886,"Cereals, Total",Yield,hg/ha,2000,8833.0
13,Algeria,1.659626,28.033886,"Citrus Fruit, Total",Yield,hg/ha,2000,103691.0
14,Algeria,1.659626,28.033886,"Milk, Total",Yield,hg/An,2000,2225.0
15,Algeria,1.659626,28.033886,"Pulses, Total",Yield,hg/ha,2000,3472.0
16,Algeria,1.659626,28.033886,"Roots and Tubers, Total",Yield,hg/ha,2000,166143.0
17,Algeria,1.659626,28.033886,"Treenuts, Total",Yield,hg/ha,2000,9754.0
18,Angola,17.873887,-11.202692,"Cereals, Total",Yield,hg/ha,2000,5644.0
19,Angola,17.873887,-11.202692,"Citrus Fruit, Total",Yield,hg/ha,2000,57778.0
20,Angola,17.873887,-11.202692,"Milk, Total",Yield,hg/An,2000,4827.0
21,Angola,17.873887,-11.202692,"Pulses, Total",Yield,hg/ha,2000,3855.0
22,Angola,17.873887,-11.202692,"Roots and Tubers, Total",Yield,hg/ha,2000,77140.0
23,Angola,17.873887,-11.202692,"Treenuts, Total",Yield,hg/ha,2000,3929.0
24,Antigua and Barbuda,-61.796428,17.060816,"Cereals, Total",Yield,hg/ha,2000,16000.0
25,Antigua and Barbuda,-61.796428,17.060816,"Citrus Fruit, Total",Yield,hg/ha,2000,37500.0
26,Antigua and Barbuda,-61.796428,17.060816,"Milk, Total",Yield,hg/An,2000,8872.0
27,Antigua and Barbuda,-61.796428,17.060816,"Roots and Tubers, Total",Yield,hg/ha,2000,48103.0
28,Argentina,-63.616672,-38.416097,"Cereals, Total",Yield,hg/ha,2000,34618.0
29,Argentina,-63.616672,-38.416097,"Citrus Fruit, Total",Yield,hg/ha,2000,225204.0
30,Argentina,-63.616672,-38.416097,"Milk, Total",Yield,hg/An,2000,41312.0
31,Argentina,-63.616672,-38.416097,"Pulses, Total",Yield,hg/ha,2000,11338.0
32,Argentina,-63.616672,-38.416097,"Roots and Tubers, Total",Yield,hg/ha,2000,231832.0
33,Argentina,-63.616672,-38.416097,"Treenuts, Total",Yield,hg/ha,2000,24522.0
34,Armenia,45.038189,40.069099,"Cereals, Total",Yield,hg/ha,2000,13830.0
35,Armenia,45.038189,40.069099,"Milk, Total",Yield,hg/An,2000,11932.0
36,Armenia,45.038189,40.069099,"Pulses, Total",Yield,hg/ha,2000,19086.0
37,Armenia,45.038189,40.069099,"Roots and Tubers, Total",Yield,hg/ha,2000,87349.0
38,Armenia,45.038189,40.069099,"Treenuts, Total",Yield,hg/ha,2000,
39,Australia,133.775136,-25.274398,"Cereals, Total",Yield,hg/ha,2000,19623.0
40,Australia,133.775136,-25.274398,"Citrus Fruit, Total",Yield,hg/ha,2000,190878.0
41,Australia,133.775136,-25.274398,"Milk, Total",Yield,hg/An,2000,49963.0
42,Australia,133.775136,-25.274398,"Pulses, Total",Yield,hg/ha,2000,9757.0
43,Australia,133.775136,-25.274398,"Roots and Tubers, Total",Yield,hg/ha,2000,285181.0
44,Australia,133.775136,-25.274398,"Treenuts, Total",Yield,hg/ha,2000,30745.0
45,Austria,14.550072,47.516231,"Cereals, Total",Yield,hg/ha,2000,54039.0
46,Austria,14.550072,47.516231,"Milk, Total",Yield,hg/An,2000,47916.0
47,Austria,14.550072,47.516231,"Pulses, Total",Yield,hg/ha,2000,23450.0
48,Austria,14.550072,47.516231,"Roots and Tubers, Total",Yield,hg/ha,2000,292627.0
49,Austria,14.550072,47.516231,"Treenuts, Total",Yield,hg/ha,2000,
50,Azerbaijan,47.576927,40.143105,"Cereals, Total",Yield,hg/ha,2000,23352.0
51,Azerbaijan,47.576927,40.143105,"Citrus Fruit, Total",Yield,hg/ha,2000,133974.0
52,Azerbaijan,47.576927,40.143105,"Milk, Total",Yield,hg/An,2000,10154.0
53,Azerbaijan,47.576927,40.143105,"Pulses, Total",Yield,hg/ha,2000,16624.0
54,Azerbaijan,47.576927,40.143105,"Roots and Tubers, Total",Yield,hg/ha,2000,89357.0
55,Azerbaijan,47.576927,40.143105,"Treenuts, Total",Yield,hg/ha,2000,12362.0
56,Bahamas,-77.39628,25.03428,"Cereals, Total",Yield,hg/ha,2000,24762.0
57,Bahamas,-77.39628,25.03428,"Citrus Fruit, Total",Yield,hg/ha,2000,261342.0
58,Bahamas,-77.39628,25.03428,"Milk, Total",Yield,hg/An,2000,2242.0
59,Bahamas,-77.39628,25.03428,"Pulses, Total",Yield,hg/ha,2000,6765.0
60,Bahamas,-77.39628,25.03428,"Roots and Tubers, Total",Yield,hg/ha,2000,38765.0
61,Bahrain,50.637772,25.930414,"Citrus Fruit, Total",Yield,hg/ha,2000,100000.0
62,Bahrain,50.637772,25.930414,"Milk, Total",Yield,hg/An,2000,16578.0
63,Bahrain,50.637772,25.930414,"Pulses, Total",Yield,hg/ha,2000,393077.0
64,Bahrain,50.637772,25.930414,"Roots and Tubers, Total",Yield,hg/ha,2000,103333.0
65,Bahrain,50.637772,25.930414,"Treenuts, Total",Yield,hg/ha,2000,20471.0
66,Bangladesh,90.356331,23.684994,"Cereals, Total",Yield,hg/ha,2000,33844.0
67,Bangladesh,90.356331,23.684994,"Citrus Fruit, Total",Yield,hg/ha,2000,31663.0
68,Bangladesh,90.356331,23.684994,"Milk, Total",Yield,hg/An,2000,1182.0
69,Bangladesh,90.356331,23.684994,"Pulses, Total",Yield,hg/ha,2000,7725.0
70,Bangladesh,90.356331,23.684994,"Roots and Tubers, Total",Yield,hg/ha,2000,116546.0
71,Barbados,-59.543198,13.193887,"Cereals, Total",Yield,hg/ha,2000,26087.0
72,Barbados,-59.543198,13.193887,"Milk, Total",Yield,hg/An,2000,18023.0
73,Barbados,-59.543198,13.193887,"Pulses, Total",Yield,hg/ha,2000,16444.0
74,Barbados,-59.543198,13.193887,"Roots and Tubers, Total",Yield,hg/ha,2000,137690.0
75,Belarus,27.953389,53.709807,"Cereals, Total",Yield,hg/ha,2000,19497.0
76,Belarus,27.953389,53.709807,"Milk, Total",Yield,hg/An,2000,24125.0
77,Belarus,27.953389,53.709807,"Pulses, Total",Yield,hg/ha,2000,14697.0
78,Belarus,27.953389,53.709807,"Roots and Tubers, Total",Yield,hg/ha,2000,131888.0
79,Belarus,27.953389,53.709807,"Treenuts, Total",Yield,hg/ha,2000,21221.0
80,Belgium,4.469936,50.503887,"Cereals, Total",Yield,hg/ha,2000,80214.0
81,Belgium,4.469936,50.503887,"Milk, Total",Yield,hg/An,2000,59544.0
82,Belgium,4.469936,50.503887,"Pulses, Total",Yield,hg/ha,2000,39524.0
83,Belgium,4.469936,50.503887,"Roots and Tubers, Total",Yield,hg/ha,2000,444058.0
84,Belgium,4.469936,50.503887,"Treenuts, Total",Yield,hg/ha,2000,22727.0
85,Belize,-88.49765,17.189877,"Cereals, Total",Yield,hg/ha,2000,24183.0
86,Belize,-88.49765,17.189877,"Citrus Fruit, Total",Yield,hg/ha,2000,118892.0
87,Belize,-88.49765,17.189877,"Milk, Total",Yield,hg/An,2000,6074.0
88,Belize,-88.49765,17.189877,"Pulses, Total",Yield,hg/ha,2000,10247.0
89,Belize,-88.49765,17.189877,"Roots and Tubers, Total",Yield,hg/ha,2000,93961.0
90,Belize,-88.49765,17.189877,"Treenuts, Total",Yield,hg/ha,2000,22430.0
91,Benin,2.315834,9.30769,"Cereals, Total",Yield,hg/ha,2000,11021.0
92,Benin,2.315834,9.30769,"Citrus Fruit, Total",Yield,hg/ha,2000,53289.0
93,Benin,2.315834,9.30769,"Milk, Total",Yield,hg/An,2000,1732.0
94,Benin,2.315834,9.30769,"Pulses, Total",Yield,hg/ha,2000,7424.0
95,Benin,2.315834,9.30769,"Roots and Tubers, Total",Yield,hg/ha,2000,107074.0
96,Benin,2.315834,9.30769,"Treenuts, Total",Yield,hg/ha,2000,2185.0
97,Bhutan,90.433601,27.514162,"Cereals, Total",Yield,hg/ha,2000,14379.0
98,Bhutan,90.433601,27.514162,"Citrus Fruit, Total",Yield,hg/ha,2000,77013.0
99,Bhutan,90.433601,27.514162,"Milk, Total",Yield,hg/An,2000,13828.0
100,Bhutan,90.433601,27.514162,"Pulses, Total",Yield,hg/ha,2000,5242.0
101,Bhutan,90.433601,27.514162,"Roots and Tubers, Total",Yield,hg/ha,2000,76283.0
102,Bhutan,90.433601,27.514162,"Treenuts, Total",Yield,hg/ha,2000,
103,Bolivia,-63.588653,-16.290154,"Cereals, Total",Yield,hg/ha,2000,16419.0
104,Bolivia,-63.588653,-16.290154,"Citrus Fruit, Total",Yield,hg/ha,2000,92602.0
105,Bolivia,-63.588653,-16.290154,"Milk, Total",Yield,hg/An,2000,1674.0
106,Bolivia,-63.588653,-16.290154,"Pulses, Total",Yield,hg/ha,2000,10482.0
107,Bolivia,-63.588653,-16.290154,"Roots and Tubers, Total",Yield,hg/ha,2000,62633.0
108,Bolivia,-63.588653,-16.290154,"Treenuts, Total",Yield,hg/ha,2000,21960.0
109,Bosnia and Herz.,17.679076,43.915886,"Cereals, Total",Yield,hg/ha,2000,25502.0
110,Bosnia and Herz.,17.679076,43.915886,"Citrus Fruit, Total",Yield,hg/ha,2000,5127.0
111,Bosnia and Herz.,17.679076,43.915886,"Milk, Total",Yield,hg/An,2000,9005.0
112,Bosnia and Herz.,17.679076,43.915886,"Pulses, Total",Yield,hg/ha,2000,8321.0
113,Bosnia and Herz.,17.679076,43.915886,"Roots and Tubers, Total",Yield,hg/ha,2000,65466.0
114,Bosnia and Herz.,17.679076,43.915886,"Treenuts, Total",Yield,hg/ha,2000,20228.0
115,Botswana,24.684866,-22.328474,"Cereals, Total",Yield,hg/ha,2000,1526.0
116,Botswana,24.684866,-22.328474,"Citrus Fruit, Total",Yield,hg/ha,2000,40000.0
117,Botswana,24.684866,-22.328474,"Milk, Total",Yield,hg/An,2000,10274.0
118,Botswana,24.684866,-22.328474,"Pulses, Total",Yield,hg/ha,2000,1610.0
119,Botswana,24.684866,-22.328474,"Roots and Tubers, Total",Yield,hg/ha,2000,75995.0
